# time kinetic_energy potential_energy total_energy
6.600000000000003642e-01 7.428874106879137571e+02 -2.109864702292313268e+03 -1.366977291604399397e+03
6.700000000000003730e-01 7.403666129603955142e+02 -2.101227365403656222e+03 -1.360860752443260708e+03
6.800000000000003819e-01 7.556320243069282014e+02 -2.114172606019690647e+03 -1.358540581712762560e+03
6.900000000000003908e-01 7.584947417959851919e+02 -2.115776716373293311e+03 -1.357281974577308119e+03
7.000000000000003997e-01 7.607181322089238620e+02 -2.118303050545270253e+03 -1.357584918336346391e+03
7.100000000000004086e-01 7.608534036545985373e+02 -2.126560435372590291e+03 -1.365707031717991867e+03
7.200000000000004174e-01 7.552230202948624083e+02 -2.115740042629965046e+03 -1.360517022335102638e+03
7.300000000000004263e-01 7.572624054758234706e+02 -2.114804167095395769e+03 -1.357541761619572299e+03
7.400000000000004352e-01 7.601092081205924842e+02 -2.121144356893236363e+03 -1.361035148772643879e+03
7.500000000000004441e-01 7.620528222020666362e+02 -2.117390500677966884e+03 -1.355337678475900248e+03
7.600000000000004530e-01 7.743358611461075043e+02 -2.127189068882940319e+03 -1.352853207736832701e+03
7.700000000000004619e-01 7.868397145874547505e+02 -2.132355247220845740e+03 -1.345515532633391103e+03
7.800000000000004707e-01 7.995303210909610243e+02 -2.152846830115877765e+03 -1.353316509024916741e+03
7.900000000000004796e-01 8.101257183983009327e+02 -2.157646688026510674e+03 -1.347520969628209741e+03
8.000000000000004885e-01 8.307464135316956799e+02 -2.181483149608780877e+03 -1.350736736077085197e+03
8.100000000000004974e-01 8.539169707386517985e+02 -2.197972589201907795e+03 -1.344055618463255996e+03
8.200000000000005063e-01 8.838552275590864156e+02 -2.228650146355287688e+03 -1.344794918796201273e+03
8.300000000000005151e-01 9.168666118656371964e+02 -2.273101817552177181e+03 -1.356235205686539985e+03
8.400000000000005240e-01 9.236767824477110480e+02 -2.274356535861044904e+03 -1.350679753413333856e+03
8.500000000000005329e-01 9.292468376422779102e+02 -2.278824239368991584e+03 -1.349577401726713560e+03
8.600000000000005418e-01 9.648315902792140832e+02 -2.309944380329170599e+03 -1.345112790049956402e+03
8.700000000000005507e-01 1.011967683166615416e+03 -2.356325679376964672e+03 -1.344357996210349256e+03
8.800000000000005596e-01 1.045170783512544631e+03 -2.383163638610581984e+03 -1.337992855098037353e+03
8.900000000000005684e-01 1.075132410848162181e+03 -2.409605689323693696e+03 -1.334473278475531515e+03
9.000000000000005773e-01 1.100046681545190495e+03 -2.455909833271792650e+03 -1.355863151726602155e+03
9.100000000000005862e-01 1.098703505114006248e+03 -2.447817630809854563e+03 -1.349114125695848315e+03
9.200000000000005951e-01 1.100450616379329404e+03 -2.445982319403256497e+03 -1.345531703023927093e+03
9.300000000000006040e-01 1.140528179786402006e+03 -2.482536887174973799e+03 -1.342008707388571793e+03
9.400000000000006128e-01 1.185060489057775385e+03 -2.526306261707596605e+03 -1.341245772649821220e+03
9.500000000000006217e-01 1.203530063911281786e+03 -2.541432296275702811e+03 -1.337902232364421025e+03
9.600000000000006306e-01 1.205110318310585853e+03 -2.554927891395332608e+03 -1.349817573084746755e+03
9.700000000000006395e-01 1.236482374592266297e+03 -2.584509146665958724e+03 -1.348026772073692428e+03
9.800000000000006484e-01 1.282338818993581754e+03 -2.647476887393000197e+03 -1.365138068399418444e+03
9.900000000000006573e-01 1.307709221561106460e+03 -2.668823524330374312e+03 -1.361114302769267852e+03
